dataset,model,accuracy,F1,macro_F1,balanced_accuracy,ROC_AUC,PR_AUC
credit,baseline,0.7594 +/- 0.0202,0.4958 +/- 0.0041,0.6219 +/- 0.0016,0.6049 +/- 0.0012,0.7073 +/- 0.0008,0.4946 +/- 0.0011
credit,pipeline,0.7372 +/- 0.0229,0.4520 +/- 0.0153,0.5488 +/- 0.0212,0.6159 +/- 0.0095,0.6831 +/- 0.0086,0.4410 +/- 0.0141
adult,baseline,0.8452 +/- 0.0002,0.6528 +/- 0.0006,0.7766 +/- 0.0003,0.7660 +/- 0.0004,0.8877 +/- 0.0003,0.7410 +/- 0.0005
adult,pipeline,0.6962 +/- 0.0084,0.5599 +/- 0.0086,0.6639 +/- 0.0073,0.7383 +/- 0.0085,0.8163 +/- 0.0063,0.5613 +/- 0.0088
law,baseline,0.7786 +/- 0.0144,0.8611 +/- 0.0108,0.6523 +/- 0.0047,0.6150 +/- 0.0039,0.8732 +/- 0.0002,0.9794 +/- 0.0001
law,pipeline,0.6999 +/- 0.0191,0.8057 +/- 0.0174,0.6162 +/- 0.0208,0.6508 +/- 0.0393,0.7608 +/- 0.0431,0.9578 +/- 0.0112
