dataset,method,accuracy,EO_gap,status,notes
adult,our_method,0.7471 +/- 0.0129,0.0728 +/- 0.0545,done,"5-seed mean +/- std; sensitive=sex; validation-selected config: rho=0.01, no-universum (selection used ONLY the validation split, never test; see docs/COMPARISON.md)"
adult,reference_FairSynData,0.7738,0.1192,done,"single run (seed=42, no --seed CLI in FairSynData); K=20 outer iters; rho_o=100 (moderate); sensitive=sex; NO_DB/syn_2_skip=true (CTGAN skipped)"
credit,our_method,0.7679 +/- 0.0174,0.0347 +/- 0.0210,done,"5-seed mean +/- std; sensitive=sex; validation-selected config: rho=0.01, no-universum (selection used ONLY the validation split, never test; see docs/COMPARISON.md)"
credit,reference_FairSynData,0.7445,0.0098,done,"single run (seed=42, no --seed CLI in FairSynData); K=20 outer iters; rho_o=100 (moderate); sensitive=sex; NO_DB/syn_2_skip=true (CTGAN skipped)"
law,our_method,0.6872 +/- 0.0312,0.2402 +/- 0.0660,done,"5-seed mean +/- std; sensitive=race; validation-selected config: rho=1.0 (universum on/off tied exactly for law -- see docs/COMPARISON.md); no config in the swept rho range reached the 0.1 validation-EO target, fallback rule (min validation EO) used"
law,reference_FairSynData,0.8438,0.0849,done,"single run (seed=42, no --seed CLI in FairSynData); K=20 outer iters; rho_o=100 (moderate); sensitive=race; NO_DB/syn_2_skip=true (CTGAN skipped); no scale/column-order fix needed, raw law.csv already correct"
