Experiment,Dataset,Method,Accuracy,Precision,Recall,F1,TPR_g0,TPR_g1,EO_gap
2D sklearn baseline,2D (30 pts),"LogReg (sklearn, no split)",0.7333,0.7059,0.8,0.75,0.5,1.0,0.5
2D draft baseline,2D (30 pts),Baseline (ERM),0.8333,0.75,1.0,0.8571,1.0,1.0,0.0
2D draft pipeline,2D (30 pts),Synth + Universum + AL,0.8333,0.75,1.0,0.8571,1.0,1.0,0.0
Stress 1 baseline,Moderate (1200),Baseline (ERM),0.9375,0.8627,0.8462,0.8544,0.9535,0.3333,0.6202
Stress 1 pipeline,Moderate (1200),Synth + Universum + AL,0.7458,0.4595,0.9808,0.6258,0.9767,1.0,0.0233
Stress 2 baseline,Strong (1500),Baseline (ERM),0.97,0.94,0.8868,0.9126,1.0,0.1429,0.8571
Stress 2 pipeline,Strong (1500),Synth + Universum + AL,0.77,0.4322,0.9623,0.5965,0.9783,0.8571,0.1211
