round,client_id,B_size,Ds_size,U_size,B_acc,B_f1,B_eo_gap,B_tpr0,B_tpr1,Ds_acc,Ds_f1,Ds_eo_gap,Ds_tpr0,Ds_tpr1
0,0,34,32,8,0.6764705882352942,0.6666666666666667,0.1428571428571429,1.0,0.8571428571428571,1.0,1.0,0.0,1.0,1.0
0,1,34,32,8,0.7647058823529411,0.7333333333333334,0.19999999999999996,0.8,1.0,1.0,1.0,0.0,1.0,1.0
0,2,33,32,8,0.8484848484848485,0.8275862068965517,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,0,34,32,8,0.6470588235294118,0.625,0.2857142857142857,1.0,0.7142857142857143,1.0,1.0,0.0,1.0,1.0
1,1,34,32,8,0.7647058823529411,0.7333333333333334,0.19999999999999996,0.8,1.0,1.0,1.0,0.0,1.0,1.0
1,2,33,32,8,0.7272727272727273,0.7096774193548387,0.19999999999999996,0.8,1.0,1.0,1.0,0.0,1.0,1.0
2,0,34,32,8,0.7058823529411765,0.6874999999999999,0.19999999999999996,0.8,1.0,1.0,1.0,0.0,1.0,1.0
2,1,34,32,8,0.7941176470588235,0.7741935483870968,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2,2,33,32,8,0.8484848484848485,0.8275862068965517,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
